PlayerName,Points
Jerome Kersey,6
Glenn Robinson,34
Ray Allen,11
Glenn Robinson,35
Glenn Robinson,36
Ray Allen,13
Corie Blount,11
Glenn Robinson,38
Adonal Foyle,15
Glenn Robinson,40
Larry Hughes,11
Larry Hughes,12
Glenn Robinson,42
Corie Blount,13
Mark Pope,10
Paul McPherson,2
Jerome Kersey,8
Glenn Robinson,45
Jerome Kersey,10
Paul McPherson,4
Jerome Kersey,12
Christian Laettner,2
Rick Fox,2
Steve Nash,3
Howard Eisley,3
Howard Eisley,6
Rick Fox,4
Steve Nash,6
Isaiah Rider,2
Steve Nash,7
Steve Nash,8
Isaiah Rider,4
Shaquille O'Neal,2
Dirk Nowitzki,2
Christian Laettner,4
Isaiah Rider,6
Steve Nash,9
Steve Nash,10
Shaquille O'Neal,4
Isaiah Rider,8
Dirk Nowitzki,4
Horace Grant,1
Horace Grant,2
Rick Fox,6
Horace Grant,4
Rick Fox,9
Michael Finley,2
Mike Penberthy,3
Steve Nash,12
Mike Penberthy,6
Dirk Nowitzki,6
Devean George,1
Devean George,2
Hubert Davis,2
Devean George,5
Steve Nash,14
Mike Penberthy,9
Steve Nash,17
Kobe Bryant,1
Shaquille O'Neal,6
Dirk Nowitzki,8
Shaquille O'Neal,8
Kobe Bryant,3
Howard Eisley,9
Steve Nash,18
Steve Nash,19
Isaiah Rider,10
Isaiah Rider,11
Isaiah Rider,12
Michael Finley,4
Kobe Bryant,5
Steve Nash,21
Dirk Nowitzki,10
Shaquille O'Neal,9
Shaquille O'Neal,10
Rick Fox,11
Dirk Nowitzki,13
Shaquille O'Neal,11
Shaquille O'Neal,12
Shaquille O'Neal,13
Michael Finley,6
Isaiah Rider,14
Kobe Bryant,6
Kobe Bryant,7
Kobe Bryant,9
Dirk Nowitzki,14
Dirk Nowitzki,15
Shaquille O'Neal,15
Michael Finley,8
Rick Fox,13
Christian Laettner,5
Shaquille O'Neal,16
Shaquille O'Neal,17
Steve Nash,23
Isaiah Rider,16
Steve Nash,25
Rick Fox,16
Kobe Bryant,10
Kobe Bryant,11
Hubert Davis,5
Rick Fox,18
Steve Nash,26
Kobe Bryant,12
Kobe Bryant,13
Greg Buckner,1
Kobe Bryant,14
Kobe Bryant,15
Mark Madsen,2
Mark Madsen,3
Michael Finley,9
Michael Finley,10
Mike Penberthy,11
Shawn Bradley,2
Hubert Davis,7
Michael Finley,13
Shaquille O'Neal,19
Shaquille O'Neal,20
Christian Laettner,7
Kobe Bryant,17
Shaquille O'Neal,22
Michael Finley,15
Michael Finley,17
Hubert Davis,10
Christian Laettner,9
Shaquille O'Neal,24
Shaquille O'Neal,25
Dirk Nowitzki,17
Dirk Nowitzki,18
Michael Finley,19
Shaquille O'Neal,26
Shaquille O'Neal,27
Dirk Nowitzki,20
Rick Fox,19
Rick Fox,20
Steve Nash,27
Isaiah Rider,18
Dirk Nowitzki,23
Horace Grant,6
Michael Finley,22
Kobe Bryant,19
Shaquille O'Neal,29
Rick Fox,21
Rick Fox,22
Steve Nash,29
Tyronn Lue,1
Tyronn Lue,2
Dirk Nowitzki,25
Isaiah Rider,19
Isaiah Rider,20
Steve Nash,31
Horace Grant,7
Horace Grant,8
Corey Maggette,2
Mookie Blaylock,3
Corey Maggette,4
Michael Olowokandi,1
Cherokee Parks,2
Chris Porter,2
Bob Sura,3
Corey Maggette,6
Chris Porter,4
Cherokee Parks,4
Eric Piatkowski,2
Jeff McInnis,2
Eric Piatkowski,3
Eric Piatkowski,4
Bob Sura,4
Bob Sura,5
Corey Maggette,9
Darius Miles,2
Michael Olowokandi,3
Antawn Jamison,2
Adam Keefe,2
Jeff McInnis,4
Antawn Jamison,4
Eric Piatkowski,7
Corey Maggette,12
Mookie Blaylock,5
Erick Dampier,1
Adonal Foyle,2
Corey Maggette,13
Corey Maggette,14
Darius Miles,4
Darius Miles,5
Adonal Foyle,4
Darius Miles,7
Keyon Dooling,2
Bob Sura,6
Jeff McInnis,5
Keyon Dooling,4
Antawn Jamison,5
Jeff McInnis,8
Keyon Dooling,6
Darius Miles,9
Adonal Foyle,6
Keyon Dooling,7
Antawn Jamison,7
Bob Sura,8
Corie Blount,2
Jeff McInnis,11
Antawn Jamison,8
Corey Maggette,15
Corey Maggette,16
Adonal Foyle,8
Jeff McInnis,12
Cherokee Parks,6
Adonal Foyle,10
Jeff McInnis,14
Antawn Jamison,9
Antawn Jamison,11
Chris Porter,5
Cherokee Parks,8
Chris Porter,7
Eric Piatkowski,9
Antawn Jamison,13
Jeff McInnis,16
Chris Porter,9
Eric Piatkowski,12
Antawn Jamison,15
Antawn Jamison,16
Corey Maggette,18
Darius Miles,10
Darius Miles,11
Adonal Foyle,12
Keyon Dooling,8
Keyon Dooling,9
Antawn Jamison,18
Adonal Foyle,14
Jeff McInnis,19
Antawn Jamison,20
Jeff McInnis,21
Antawn Jamison,22
Keyon Dooling,11
Eric Piatkowski,13
Eric Piatkowski,14
Bob Sura,9
Keyon Dooling,12
Keyon Dooling,13
Darius Miles,13
Adam Keefe,4
Corie Blount,4
Corie Blount,6
Corie Blount,8
Brian Skinner,2
Adam Keefe,6
Chris Porter,11
Corey Maggette,20
Travis Best,2
Paul Pierce,2
Travis Best,5
Jermaine O'Neal,2
Jermaine O'Neal,4
Tony Battie,2
Randy Brown,2
Bryant Stith,2
Reggie Miller,2
Austin Croshere,1
Austin Croshere,2
Austin Croshere,4
Vitaly Potapenko,2
Vitaly Potapenko,4
Paul Pierce,4
Vitaly Potapenko,5
Vitaly Potapenko,6
Reggie Miller,4
Austin Croshere,6
Paul Pierce,6
Reggie Miller,5
Reggie Miller,6
Tony Battie,4
Antoine Walker,2
Reggie Miller,7
Reggie Miller,8
Austin Croshere,8
